# ══════════════════════════════════════════════════════════════════════════
# ПОЛЯ (по порядку):
#   key            — внутренний идентификатор вида оружия (sword/dagger/...)
#   name           — отображаемое имя (для UI/HUD), кириллица допустима
#   category       — папка спрайтов на сервере (Source/Weapon/<category>/...)
#   throwSpeed     — начальная скорость брошенного оружия (px/кадр). Определяет
#                    дальность броска — чем больше, тем дальше летит.
#   scale          — базовый масштаб клинка относительно эталонного меча (1.0 = как меч).
#                    Это же поле = "длина" оружия.
#   dmgBase        — базовый урон брошенного оружия при попадании (константа)
#   dmgPerSpeed    — множитель урона за скорость полёта (урон = dmgBase + скорость*dmgPerSpeed)
#   maxDmgPercent  — потолок урона за ОДНО попадание, в долях от ТЕКУЩЕГО HP цели
#   spinMin/spinMax— угловая скорость вращения брошенного/выбитого оружия в полёте.
#                    0/0 = летит прямо без вращения ("полёт прямой").
#   weight         — вес. Влияет на скорость замаха/поворота клинка в руке И на
#                    скорость передвижения персонажа (тяжёлое оружие = медленнее и то, и то).
#   staminaMult    — "Отдых": множитель расхода стамины за замах/флик этим оружием
#                    относительно базового (sl-stamswing / sl-stamflick).
#   cutMult        — "Режущий": множитель урона для АТАК С КРУЧЕНИЕМ (обычный замах).
#   pierceMult     — "Колющий": множитель урона для АТАК ПО ПРЯМОЙ (укол, окно ~30мс).
#   collision      — "full" = коллайдер урона на всю длину клинка,
#                    "tip"  = урон наносит только наконечник (~последние 30% длины);
#                    коллайдер-БЛОК (клинок о клинок) всегда на всю длину независимо от этого поля.
#   flags          — спецспособности через запятую:
#                    disarm    — при нанесении урона всегда выбивает оружие у цели
#                    knockback — сильный доп. нокбэк по телу/щиту цели при попадании
#   chargeTime     — [ТОЛЬКО ЖЕЗЛ] время накопления заряда перед выстрелом, сек.
#                    Для остального оружия не используется, можно оставлять пустым.
#
# key        |name            |category|throwSpeed|scale|dmgBase|dmgPerSpeed|maxDmgPercent|spinMin|spinMax|weight|staminaMult|cutMult|pierceMult|collision|flags            |chargeTime
sword        |Меч             |sword   |15.92     |1.0  |8      |6          |0.20         |0.24   |0.48   |1.0   |1.0        |1.0    |1.0       |full     |                 |
dagger       |Кинжал          |knife   |17.92     |0.4  |4      |6          |0.20         |0.24   |0.48   |0.4   |0.01       |1.0    |2.5       |full     |                 |
spear        |Копьё           |spear   |22.92     |1.6  |10     |6          |0.30         |0      |0      |1.0   |0.3        |0.1    |2.0       |tip      |                 |
axe          |Топор           |axe     |17.752    |0.7  |8      |6          |0.20         |0.24   |0.24   |1.2   |1.5        |1.5    |0.5       |full     |                 |
longsword    |Длинный меч     |sword   |10.752    |1.0  |8      |6          |0.20         |0.1    |0.24   |1.0   |0.5        |1.1    |1.2       |full     |                 |
greatsword   |Огромный меч    |sword   |3.584     |1.6  |8      |6          |0.20         |0.05   |0.1    |1.6   |2.0        |1.2    |1.2       |full     |                 |
hammer       |Молот           |hammer  |15.752    |1.0  |8      |6          |0.20         |0.1    |0.2    |1.2   |1.5        |1.5    |0.1       |full     |disarm,knockback|
staff        |Посох           |staff   |10.336    |1.8  |8      |6          |0.20         |0.1    |0.2    |0.8   |0.3        |0.5    |0.5       |full     |knockback        |
rapier|Рапира|rapier|8|1.0|8|6|0.20|0.24|0.48|1.0|1.0|1.0|1.0|full|
# ── Цеп: "scale" ниже — резервное значение (fallback), если по какой-то
# причине не считается динамическая длина цепи (см. МОДУЛЬ ЦЕПА в game.html).
# В обычной работе реальная длина берётся из pFlailExt/bFlailExt (0.4..2.2),
# а НЕ из этого столбца.
flail        |Цеп             |flail   |8         |0.7  |8      |6          |0.20         |0.24   |0.24   |0.3   |1.5        |1.5    |0.1       |tip      |disarm,knockback |
# ── Дальнобойное оружие (ЛКМ = выстрел, см. МОДУЛЬ ДАЛЬНЕГО БОЯ в game.html) ──
# throwSpeed/dmgBase/dmgPerSpeed в этих 2 строках — fallback только на случай
# обычного выбивания/броска этого оружия как предмета. Сам магический/
# арбалетный выстрел считается отдельно константами WAND_*/CROSSBOW_* в коде:
#   Жезл:    урон = 10 * (1..2x от ярости), накопление chargeTime сек (герой не двигается)
#   Арбалет: урон = случайно 5..20 за выстрел, перезарядка 0.6 сек
wand         |Жезл            |wand    |14        |1.0  |10     |0          |0.25         |0.1    |0.1    |1.2   |1.5        |0.4    |0.1       |full     |ranged_wand      |0.5
crossbow     |Арбалет         |crossbow|3         |0.4  |5      |0          |0.30         |0      |0      |1.0   |0.1        |0.01   |0.01      |none     |ranged_crossbow  |
